"Date","Price","Open","High","Low","Vol.","Change %"
"02/07/2024","145.54","144.76","145.62","143.93","25.21M","1.00%"
"02/06/2024","144.10","144.65","145.36","143.19","29.13M","0.29%"
"02/05/2024","143.68","142.82","145.47","142.78","38.51M","0.91%"
"02/02/2024","142.38","139.26","142.62","136.50","62.50M","0.86%"
"02/01/2024","141.16","142.12","143.06","140.79","40.47M","0.76%"
"01/31/2024","140.10","143.62","144.00","139.87","71.91M","-7.50%"
"01/30/2024","151.46","152.80","153.62","151.18","36.33M","-1.34%"
"01/29/2024","153.51","152.06","153.78","151.43","27.78M","0.87%"
"01/26/2024","152.18","151.10","152.54","151.01","26.12M","0.21%"
"01/25/2024","151.87","150.07","153.05","149.54","29.15M","2.13%"
"01/24/2024","148.70","148.54","149.85","148.10","25.23M","1.13%"
"01/23/2024","147.04","145.89","147.18","145.50","21.64M","0.72%"
"01/22/2024","145.99","147.10","148.39","145.84","32.20M","-0.27%"
"01/19/2024","146.38","144.74","146.45","144.38","34.27M","2.02%"
"01/18/2024","143.48","142.05","144.21","141.99","25.75M","1.42%"
"01/17/2024","141.47","141.35","141.84","138.90","20.97M","-0.72%"
"01/16/2024","142.49","142.00","144.35","141.45","22.67M","-0.11%"
"01/12/2024","142.65","142.67","143.20","141.82","18.79M","0.40%"
"01/11/2024","142.08","143.49","145.22","140.63","24.01M","-0.14%"
"01/10/2024","142.28","141.00","143.00","140.91","21.32M","0.94%"
"01/09/2024","140.95","138.50","141.49","138.15","24.76M","1.52%"
"01/08/2024","138.84","136.29","139.01","136.26","21.40M","2.29%"
"01/05/2024","135.73","136.74","137.16","135.15","22.51M","-0.48%"
"01/04/2024","136.39","138.42","139.16","136.35","27.14M","-1.82%"
"01/03/2024","138.92","137.25","139.63","137.08","24.21M","0.54%"
"01/02/2024","138.17","138.55","139.45","136.48","23.71M","-1.09%"
